id,name,sport,year,brand,setName,source,searchText,displayName
106888,Panini Samsung NBA Summer League,Basketball,Unknown,Panini,Samsung NBA Summer League,getcardbase,basketball unknown panini samsung nba summer league,Basketball Unknown Panini Samsung NBA Summer League
118615,Panini Super Bowl XLIX New England Patriots,Multi-Sport,Unknown,Panini,Super Bowl XLIX New England Patriots,getcardbase,multi-sport unknown panini super bowl xlix new england patriots,Multi-Sport Unknown Panini Super Bowl XLIX New England Patriots
121621,Leaf U.S. Army All-American Bowl Retail,Unknown,Unknown,Leaf,U.S. Army All-American Bowl Retail,getcardbase,unknown unknown leaf u.s. army all-american bowl retail,Unknown Unknown Leaf U.S. Army All-American Bowl Retail
130531,Polo Grounds Game (WG4),Unknown,Unknown,Unknown,Polo Grounds Game (WG4),getcardbase,unknown unknown unknown polo grounds game (wg4),Unknown Unknown Unknown Polo Grounds Game (WG4)
130696,Old Judge Cabinets (N173),Unknown,Unknown,Unknown,Old Judge Cabinets (N173),getcardbase,unknown unknown unknown old judge cabinets (n173),Unknown Unknown Unknown Old Judge Cabinets (N173)
532403,Star Cards,Unknown,Unknown,Unknown,Star Cards,getcardbase,unknown unknown unknown star cards,Unknown Unknown Unknown Star Cards
532419,North-South Shootout,Unknown,Unknown,Unknown,North-South Shootout,getcardbase,unknown unknown unknown north-south shootout,Unknown Unknown Unknown North-South Shootout
118366,World of Outlaws,Unknown,Unknown,Unknown,World of Outlaws,getcardbase,unknown unknown unknown world of outlaws,Unknown Unknown Unknown World of Outlaws
532448,IRL Ministry,Unknown,Unknown,Unknown,IRL Ministry,getcardbase,unknown unknown unknown irl ministry,Unknown Unknown Unknown IRL Ministry
532465,Press Pass Fisher Price Shake 'N Go,Unknown,Unknown,Unknown,Press Pass Fisher Price Shake 'N Go,getcardbase,unknown unknown unknown press pass fisher price shake 'n go,Unknown Unknown Unknown Press Pass Fisher Price Shake 'N Go
119799,Upper Deck Challenge for the Cup,Unknown,Unknown,Upper Deck,Challenge for the Cup,getcardbase,unknown unknown upper deck challenge for the cup,Unknown Unknown Upper Deck Challenge for the Cup
532483,All Japan Woman's Wrestling Sakurado Zenjo Vol. 2,Wrestling,Unknown,Unknown,All Japan Woman's Sakurado Zenjo Vol. 2,getcardbase,wrestling unknown unknown all japan woman's sakurado zenjo vol. 2,Wrestling Unknown Unknown All Japan Woman's Sakurado Zenjo Vol. 2
121504,NetPro Tour Stars,Unknown,Unknown,Unknown,NetPro Tour Stars,getcardbase,unknown unknown unknown netpro tour stars,Unknown Unknown Unknown NetPro Tour Stars
124646,Playoff Prime,Unknown,Unknown,Unknown,Playoff Prime,getcardbase,unknown unknown unknown playoff prime,Unknown Unknown Unknown Playoff Prime
130746,Upper Deck Fusion,Unknown,Unknown,Upper Deck,Fusion,getcardbase,unknown unknown upper deck fusion,Unknown Unknown Upper Deck Fusion
532493,Sprint Cup Series,Unknown,Unknown,Unknown,Sprint Cup Series,getcardbase,unknown unknown unknown sprint cup series,Unknown Unknown Unknown Sprint Cup Series
117025,Panini USA Stars & Stripes,Multi-Sport,Unknown,Panini,USA Stars & Stripes,getcardbase,multi-sport unknown panini usa stars & stripes,Multi-Sport Unknown Panini USA Stars & Stripes
117329,TCMA Oneonta Yankees,Unknown,Unknown,Unknown,TCMA Oneonta Yankees,getcardbase,unknown unknown unknown tcma oneonta yankees,Unknown Unknown Unknown TCMA Oneonta Yankees
119322,Pro Set PGA Tour,Unknown,Unknown,Unknown,Pro Set PGA Tour,getcardbase,unknown unknown unknown pro set pga tour,Unknown Unknown Unknown Pro Set PGA Tour
125450,Panini UEFA Euro Adrenalyn XL,Multi-Sport,Unknown,Panini,UEFA Euro Adrenalyn XL,getcardbase,multi-sport unknown panini uefa euro adrenalyn xl,Multi-Sport Unknown Panini UEFA Euro Adrenalyn XL
131908,KAS Discs,Unknown,Unknown,Unknown,KAS Discs,getcardbase,unknown unknown unknown kas discs,Unknown Unknown Unknown KAS Discs
106876,Donruss Toronto All-Star,Unknown,Unknown,Donruss,Toronto All-Star,getcardbase,unknown unknown donruss toronto all-star,Unknown Unknown Donruss Toronto All-Star
532523,New York Empire,Unknown,Unknown,Unknown,New York Empire,getcardbase,unknown unknown unknown new york empire,Unknown Unknown Unknown New York Empire
118239,Topps Strata Retail,Baseball,Unknown,Topps,Strata Retail,getcardbase,baseball unknown topps strata retail,Baseball Unknown Topps Strata Retail
119373,Fritsch Madison Muskies,Unknown,Unknown,Unknown,Fritsch Madison Muskies,getcardbase,unknown unknown unknown fritsch madison muskies,Unknown Unknown Unknown Fritsch Madison Muskies
126735,Donruss Prime Patches,Unknown,Unknown,Donruss,Prime Patches,getcardbase,unknown unknown donruss prime patches,Unknown Unknown Donruss Prime Patches
133023,Topps Utz,Baseball,Unknown,Topps,Utz,getcardbase,baseball unknown topps utz,Baseball Unknown Topps Utz
118761,Upper Deck World Cup Contenders English/Spanish,Unknown,Unknown,Upper Deck,World Cup Contenders English/Spanish,getcardbase,unknown unknown upper deck world cup contenders english/spanish,Unknown Unknown Upper Deck World Cup Contenders English/Spanish
120006,Futera Platinum World Stars,Unknown,Unknown,Unknown,Futera Platinum World Stars,getcardbase,unknown unknown unknown futera platinum world stars,Unknown Unknown Unknown Futera Platinum World Stars
122118,UD Past Time Pennants,Unknown,Unknown,Unknown,UD Past Time Pennants,getcardbase,unknown unknown unknown ud past time pennants,Unknown Unknown Unknown UD Past Time Pennants
127457,Leaf Draft Special Issue,Unknown,Unknown,Leaf,Draft Special Issue,getcardbase,unknown unknown leaf draft special issue,Unknown Unknown Leaf Draft Special Issue
106882,Panini Player of the Day,Multi-Sport,Unknown,Panini,Player of the Day,getcardbase,multi-sport unknown panini player of the day,Multi-Sport Unknown Panini Player of the Day
532620,Indy Lights,Unknown,Unknown,Unknown,Indy Lights,getcardbase,unknown unknown unknown indy lights,Unknown Unknown Unknown Indy Lights
110137,Donruss All-Star Game,Unknown,Unknown,Donruss,All-Star Game,getcardbase,unknown unknown donruss all-star game,Unknown Unknown Donruss All-Star Game
134486,SAGE HIT Low Series,Unknown,Unknown,Unknown,SAGE HIT Low Series,getcardbase,unknown unknown unknown sage hit low series,Unknown Unknown Unknown SAGE HIT Low Series
135178,Topps Dice Game,Baseball,Unknown,Topps,Dice Game,getcardbase,baseball unknown topps dice game,Baseball Unknown Topps Dice Game
119625,Topps Cyber Weekend,Baseball,Unknown,Topps,Cyber Weekend,getcardbase,baseball unknown topps cyber weekend,Baseball Unknown Topps Cyber Weekend
120010,Panini Aficionado,Multi-Sport,Unknown,Panini,Aficionado,getcardbase,multi-sport unknown panini aficionado,Multi-Sport Unknown Panini Aficionado
